26,13,25,5,11,22,29,14,2,20,6,52,53,21,41,32,15,17,38,37,28,8,16,31,4,10,43,34,44,45,35,23,36,12,57,48,1,58,9,19,33,30,39,40,18,51,55,46,56,42,
26,25,27,13,23,5,22,14,41,20,38,15,37,28,36,12,6,21,30,52,9,11,8,32,48,29,17,34,39,2,4,3,33,35,19,44,1,16,58,43,46,40,45,49,53,18,57,31,10,7,
26,13,25,14,22,27,41,5,17,38,6,37,20,36,2,9,23,12,30,11,16,21,15,8,35,32,3,48,40,18,39,52,29,28,19,34,7,44,1,4,33,31,10,42,58,43,45,49,57,46,
26,13,27,25,5,14,6,22,41,17,20,11,36,38,37,23,15,8,12,9,30,48,34,21,28,32,52,35,16,39,2,3,4,44,1,19,40,18,29,10,33,46,58,49,31,45,7,53,57,43,
26,25,13,27,5,22,14,6,41,15,38,37,23,11,2,36,20,8,12,21,30,35,34,9,48,17,52,28,4,29,32,1,3,44,16,39,53,58,57,33,45,49,40,31,19,10,46,18,56,43,
26,13,25,14,22,5,11,2,41,37,38,20,21,17,29,15,32,6,30,36,23,52,16,34,12,9,35,4,43,44,8,48,53,28,1,31,40,19,10,45,33,39,18,3,7,49,57,58,51,42,
26,13,14,17,27,5,25,41,23,22,2,37,38,12,6,16,9,20,30,8,11,48,1,15,36,34,52,4,40,3,21,32,18,19,44,39,29,31,7,33,28,35,46,53,43,10,42,45,49,58,
26,13,14,25,5,41,17,22,2,38,1,16,37,9,12,40,20,11,21,8,4,23,44,30,48,36,15,34,6,43,31,7,19,52,28,32,3,29,35,27,33,39,53,10,18,45,24,46,42,49,
26,13,25,14,41,5,22,27,37,38,23,6,2,36,17,8,12,15,9,20,21,35,48,30,11,29,32,34,28,52,3,16,1,4,44,53,40,45,33,43,58,39,10,57,19,46,49,31,18,7,
26,27,25,41,13,22,20,5,23,37,8,28,38,17,15,12,14,36,11,21,9,6,48,34,39,2,30,29,3,16,35,32,52,40,33,19,4,18,1,44,31,57,58,45,42,7,43,10,46,53,
26,13,25,14,41,27,22,5,37,20,17,38,12,11,23,21,16,36,34,15,9,48,30,8,4,40,3,32,52,6,28,18,33,35,1,44,2,43,7,19,39,29,31,49,10,53,46,57,58,42,
26,13,6,14,41,25,17,5,38,22,36,20,12,8,52,27,9,37,48,21,16,15,35,40,4,1,23,34,30,11,3,2,44,32,10,53,19,58,39,43,7,42,28,29,18,57,33,49,31,45,
26,13,17,14,41,25,6,5,20,22,11,48,40,21,16,9,1,8,38,34,37,52,4,12,15,39,32,27,3,28,44,35,31,36,30,2,19,33,43,53,23,18,29,49,10,46,7,42,47,45,
26,13,25,5,2,6,27,14,17,41,22,8,37,15,23,38,11,36,30,20,12,48,52,35,9,34,1,21,4,44,16,39,53,32,10,40,3,29,31,19,58,28,57,49,45,18,33,46,47,56,
26,25,13,5,2,22,14,27,41,23,15,37,6,20,30,11,36,38,21,34,35,17,12,32,9,4,53,52,8,28,48,58,44,10,1,57,3,19,29,45,16,40,39,31,33,43,18,56,49,51,
26,25,13,5,22,27,23,20,41,2,15,14,6,52,8,28,21,38,17,11,30,37,34,9,48,36,29,12,4,58,44,32,53,39,1,57,3,35,19,45,16,56,40,31,49,10,18,46,54,33,
26,13,41,25,22,20,14,37,38,17,5,16,12,27,36,9,11,23,21,28,40,2,15,1,6,3,29,48,19,8,35,34,18,30,39,52,44,4,33,32,7,43,10,42,31,49,46,53,45,57,
26,13,25,27,5,6,22,37,14,2,29,23,15,38,17,30,36,8,12,11,41,28,39,48,21,52,20,35,9,34,16,3,53,31,32,49,57,19,4,46,1,40,10,44,58,33,45,51,18,7,
26,13,27,25,5,22,23,29,6,8,37,38,14,15,30,2,36,52,39,12,28,48,41,17,21,11,35,9,34,31,49,16,20,32,3,53,57,44,46,58,4,1,33,40,51,45,56,47,10,50,
